"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"NM_001106284",25.4212303242263,1.4488258315365,0.492717698156804,0.000240220944146447,0.00149069913956491
"NM_001039611",536.791602225023,0.611554268944375,0.137017846337811,2.92231839534002e-06,3.49469849453611e-05
"NM_001012742",376.895770168666,0.782675996680125,0.35548325108564,0.0052721396373743,0.0198291631125063
"NM_001107515",141.426612234436,2.67049224784946,0.42778031666416,2.46450572023543e-11,1.04574972453233e-09
"NM_080894",35.5640905846074,-0.916738891563948,0.393690484161964,0.00309870115675737,0.0129239945778989
"NM_012689",185.814267063246,-1.58398134770759,0.307882827287549,2.27061966624293e-08,5.14517734680616e-07
"NM_053557",531.757604862488,1.15200249217058,0.23810022631271,1.68387443533669e-07,3.00906992591061e-06
"NM_031013",11660.6178473695,-1.38573643002635,0.29054901989502,1.63151199213811e-07,2.93458539993417e-06
"NM_001127504",2500.76719497734,-0.580083763503338,0.187495688572991,0.00072426395690942,0.00381575306156976
"NM_177481",42.5279460497163,-0.955790462879661,0.6524445289743,0.0123857774590529,0.0390811640180853
"NM_031238",423.357543601999,-1.48510610248215,0.239765366092148,5.28870798417932e-11,2.13687135096069e-09
"NM_001013896",3040.02307094001,-0.556958773997267,0.269131382284084,0.0133244671518083,0.0414183707348477
"NM_134380",3782.60534647523,-2.18488638618538,1.26789309963378,0.00207182893956965,0.00925961774943896
"NM_001013152",3173.15456768856,-0.701326139594208,0.166189694090314,6.93316458979622e-06,7.38497358120716e-05
"NM_001037793",1603.66010035539,-0.4936974245909,0.186343894918195,0.00356131678399851,0.0144958783170902
"NM_013155",138.746545518731,1.20573810210025,0.365036520501611,9.98685887703574e-05,0.00072112732627216
"NM_017365",1927.85722322773,0.446183967661207,0.177508010733931,0.00622612010723386,0.0227250282226835
"NM_017158",17277.1034253478,2.42143651425535,0.386928305784788,1.9623517899002e-11,8.66114304056353e-10
"NM_001191052",885.403879011148,-0.777965596395303,0.230784750629242,0.000166972018505188,0.0011047697070271
"NM_001047087",8509.76204329297,0.586032941908494,0.159188661966493,8.84856341381906e-05,0.000653533010200749
"NM_001108901",40.9727219611895,-0.730016622828262,0.369686485259201,0.0101971893829199,0.0336841332486594
"NM_001276762",20.9418855770883,1.63264711439121,0.605256735687454,0.000424942668024934,0.00240727831010001
"NM_001134425",272.448223295497,1.16190187212472,0.355955945931113,0.000121677387535971,0.000851988609190453
"NM_001277694",428.92770838698,1.34322019967321,0.308836797090892,1.35245014938516e-06,1.79727051290725e-05
"NM_001002277",206.44036136205,0.542940914008094,0.25789605128053,0.0130438003593173,0.0407351056607013
"NM_001195606",1743.33607047054,-0.650788063025957,0.271263243504027,0.00442692633260504,0.0172036493618562
"NM_001107451",250.930738806075,-0.974078590331224,0.411931184531646,0.00222425906005785,0.0098527235268181
"NM_130428",8292.79094092761,-0.506367227692023,0.181263673541658,0.00229611366198746,0.010109891484472
"NM_001108462",164.76547304913,2.60923259544088,0.434497470126101,1.14733727660114e-10,4.20307888994883e-09
"NM_012756",3435.07419284159,0.572935581227974,0.142794846172309,2.39419861277121e-05,0.000215674120937341
"NM_001107464",220.27740273372,2.12119281144931,0.524193330022538,3.03712606080693e-06,3.61625302364769e-05
"NM_001106215",146.137712161342,-0.776858110045652,0.308282008180932,0.00237548633387472,0.0103968916006703
"NM_001169138",222.026784413302,-1.1186484566319,0.296211421423543,1.94077128663998e-05,0.000179840442159977
"NM_139261",779.203035005557,0.553307500269733,0.137144687467836,2.30319229257411e-05,0.000208673398972708
"NM_012695",2711.28839904577,1.62193207725569,0.481772243425148,5.9201564791989e-05,0.000471126138351889
"NM_207591",1730.82147148475,0.692466864593765,0.108266441500142,4.96968998386913e-11,2.03036776664393e-09
"NM_001271132",3790.18566307087,-0.422852345967061,0.168586276097594,0.00665674100996267,0.0239703747377096
"NM_001012064",1850.66474499186,-1.1103387920302,0.199859866301302,3.72137912631218e-09,1.01736210443211e-07
"NM_031508",90.5155268978878,0.76094485316395,0.375505612694703,0.00818450113502946,0.0283299740075508
"NM_001107493",747.940935662907,1.0330128832431,0.170443971100421,2.12815536477419e-10,7.42489760598996e-09
"NM_173294",21081.5214453646,-1.32824869966893,0.337844071979359,7.12268964441697e-06,7.55582617684774e-05
"NM_001012065",632.766638066127,0.733630952006279,0.199204424474832,6.00802669021452e-05,0.000477082466224404
"NM_012693",15470.4984966426,-1.65908456876892,0.507221883127014,6.76575013314377e-05,0.000523999957457717
"NM_001127579",399.988936004251,-0.430193803479335,0.164135025218908,0.0047557996533824,0.018223932423526
"NM_012831",1476.23945779425,0.389394186231433,0.144089990543255,0.00422227871465343,0.0166080325962925
"NM_001107507",854.761537059734,0.436970742972951,0.194188945461319,0.0128402632595554,0.0401577954531912
"NM_023098",3375.0104951658,-0.660148955874081,0.316665784681941,0.00924741233875087,0.0311936960107035
"NM_001039665",98.4192581749003,1.31057194181944,0.416792422441373,0.00014871249369088,0.00100144013827376
"NM_138529",2629.43039730158,-0.488572701837489,0.175108529341975,0.00245626596696842,0.0106866045039521
"NM_001271493",17.5504545566705,-1.03507570136292,0.679422927421338,0.011358792522876,0.0366223417459012
"NM_001100846",917.520683302081,-0.68988669792888,0.191675125157402,9.04346243995776e-05,0.000662071301238853
"NM_012999",1928.7646480204,0.669104050298174,0.13884621982273,4.72358411342999e-07,7.35300133237898e-06
"NM_153300",179.051353693351,-0.689354465196532,0.281437826437529,0.00361460227716601,0.0146910055569728
"NM_001191624",471.335478487604,-0.692552162514291,0.188050421702863,6.53616563191657e-05,0.000510536320502936
"NM_001115039",828.336567124867,0.780350674001119,0.122942860682965,5.56697286558489e-11,2.22476479246465e-09
"NM_001106272",1658.9752571825,-0.41122622395735,0.113349375500757,0.000169576866288986,0.00111930916547505
"NM_001011932",1376.79096176106,-0.303901304995073,0.12828567557469,0.0131792218599436,0.0410776086899547
"NM_001170432",557.333390875948,-0.950590727941775,0.275797493416531,8.85654732211235e-05,0.000653683378576324
"NM_145774",585.548194710041,-0.731129261498638,0.285775965647539,0.00239434152190249,0.0104585903520304
"NM_001013897",689.874210116169,0.77592683275479,0.126314490715043,2.08571423989097e-10,7.29999983961838e-09
"NM_001108491",133.512626270771,-0.602735716573123,0.245108941598468,0.00455873446019106,0.0176224029959549
"NM_017198",455.172326956998,0.59057627136256,0.199162608183814,0.00108651813894736,0.0053836043043424
"NM_001108493",168.32818092842,-0.943374241290725,0.218042868350058,2.63647131892081e-06,3.23741003295416e-05
"NM_080786",6051.95130356205,-0.671018183153801,0.314141798603935,0.00815599291296908,0.0282444725119862
"NM_053366",3295.58027917557,0.414162222790379,0.159519338871192,0.00541432838593672,0.0202431386488594
"NM_001108494",1054.01641522407,-0.560190997136645,0.130625642874377,7.38807516782185e-06,7.78475034461766e-05
"NM_033234",7025.3618080237,-2.21482405831432,0.314380878966308,1.17680419307623e-13,8.23762935153358e-12
"NM_001100582",1445.92310278439,-0.899848345717443,0.252275499456705,6.22849150220399e-05,0.000491380074179316
"NM_001107547",1694.45988343879,-0.564711312924988,0.220961883678914,0.0038713672439447,0.0154987807375641
"NM_001106285",426.896569777816,-0.654225983142911,0.242362355580811,0.00200204631882963,0.0090026550916275
"NM_001079706",81.3976032364483,-0.806753797652568,0.30755764009378,0.00171832893651367,0.00790143724363399
"NM_017100",179.496379611773,-0.936984486646208,0.561650085585518,0.00975874357691942,0.032499573306165
"NM_001107548",118.540332225716,0.948161916430852,0.256175295012437,3.53818838760973e-05,0.000302369287557006
"NM_001009645",227.417398953208,-1.02895643165897,0.536007179328579,0.00526128486681891,0.0198086744386228
"NM_198736",101.80392869512,0.86574248775397,0.256361529244315,0.000136271604043119,0.000936015580271176
"NM_001109156",392.390049410431,-0.993192478280622,0.245481323265478,7.83795680920235e-06,8.1959224865018e-05
"NM_001004415",78.2814673983757,2.68609750884401,0.774346738737328,2.31153187913026e-05,0.000209256469123901
"NM_001015024",88.8682850618417,-0.96016761129789,0.376553198569572,0.0014831477980123,0.00699261874738533
"NM_181480",963.937571660435,0.336726456730811,0.128234265627339,0.00597496201887305,0.021976182258171
"NM_001108512",1090.84863689885,-0.557918394459044,0.138147740981706,2.23938735174438e-05,0.0002039011350097
"NM_001106321",4440.98971066357,-2.02163741195415,0.417113822661905,7.72361532069809e-08,1.515759506687e-06
"NM_001287134",3280.40487382873,-0.354569035375454,0.141665070673764,0.00807843780307565,0.0280270309118344
