"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"NM_053699",327.340807026602,6.70112280783115,0.285454016569481,1.59796222252406e-122,1.75616048255394e-118
"NM_031605",804.461120181784,3.88093186109784,0.220765456262362,2.82440261042458e-70,1.55200923442831e-66
"NM_001130558",1708.442318724,-7.85073118166881,0.450059779720687,4.50106835471288e-69,1.64889137394315e-65
"NM_013033",701.465534930932,5.96589687908853,0.363413792072266,1.1605034233456e-61,3.18848315564205e-58
"NM_001005384",1095.31875553532,3.91622800752252,0.261595406813369,7.00242377795547e-52,1.53913274639461e-48
"NM_144755",1497.09932172887,4.11768680451953,0.275412952235696,9.35999513576369e-52,1.71443910903405e-48
"NM_031048",5009.99502976771,4.21858715779079,0.305480766302028,1.49463937128253e-44,2.34658381291357e-41
"NM_013105",213751.274268609,4.82827001177628,0.35661386365319,2.13981788639997e-43,2.93957482144196e-40
"NM_001014166",1157.63037764341,-2.93596759757014,0.216601379875326,3.28266221733371e-43,4.00849530761083e-40
"NM_053288",130854.6056255,4.3395862371775,0.336079197045541,1.81913447837213e-39,1.99922879173097e-36
