"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"NM_024162",1644.87453104554,7.82827293355785,0.265331025153607,2.80630531576419e-191,2.96430030504172e-187
"NM_012737",1811.16991650966,-6.71065113727443,0.25626192663778,6.99533184748807e-152,3.69458451525082e-148
"NM_017158",1969.8892349859,-5.689819266925,0.274148393997118,7.62927379247431e-97,2.6862673023302e-93
"NM_131903",6853.99682203312,-5.0847823675891,0.253117961904307,6.178415901037e-91,1.63156517906635e-87
"NM_019157",308.972160313344,5.95513107756701,0.298004754036756,2.85231685794291e-89,6.0258045940902e-86
"NM_001014063",2045.22139483402,-4.19984570252416,0.22586927021996,2.11268948763191e-78,3.71938984297598e-75
"NM_012600",9228.84559093418,3.78661542093561,0.209856125749163,5.06475264184591e-74,7.64271173654547e-71
"NM_053883",713.751504195227,-3.08916144661612,0.174861528706334,4.80356259001669e-71,6.34250395479329e-68
"NM_001013098",1980.44021480938,-5.29108941478452,0.309697556845862,1.08734903734819e-66,1.27618532016766e-63
"NM_001013975",689.621004155267,-3.74769332382554,0.226913632668822,1.87140748151338e-62,1.97676772272258e-59
