"Geneid","SRR1177963","SRR1177964","SRR1177965","SRR1177997","SRR1177999","SRR1178002","SRR1178014","SRR1178021","SRR1178047"
"1","NM_001270655",0,0,0,0,0,0,0,0,0
"2","NM_001270656",0,0,0,0,0,0,0,0,0
"3","NM_019248",0,0,0,0,0,0,0,0,0
"4","NM_017065",0,0,0,0,0,0,1,0,0
"5","NM_031069",1,0,0,0,0,0,0,0,0
"6","NM_001008368",607,643,569,676,779,676,795,841,904
"7","NM_001106284",19,11,18,5,1,2,14,23,21
"8","NM_001039611",342,350,341,166,201,154,260,346,370
"9","NM_001012742",62,64,58,31,38,43,128,221,418
"10","NM_001105731",7,4,3,6,6,6,5,1,4
"11","NM_001024899",18,25,18,12,18,28,24,26,41
"12","NM_001107611",15,15,19,5,3,3,5,1,2
"13","NM_013070",598,710,720,528,660,480,417,559,530
"14","NM_001108458",4,7,7,5,9,13,7,4,14
"15","NM_001107515",57,31,39,15,13,9,93,134,143
"16","NM_080894",13,10,11,12,22,12,9,15,9
"17","NM_001039722",0,0,0,0,0,0,0,0,0
"18","NM_001190999",37,50,30,38,70,44,67,74,76
"19","NM_001038601",0,0,0,0,0,0,0,0,0
"20","NM_012689",25,14,22,129,97,104,39,44,48
"21","NR_027877",0,0,0,0,0,0,0,0,0
"22","NM_001038600",0,0,0,0,0,0,0,0,0
"23","NM_020093",34,40,30,43,65,38,48,72,66
"24","NM_001101008",74,78,75,68,44,59,92,107,110
"25","NM_133406",18,18,24,25,25,17,26,29,40
"26","NM_001106231",10,4,5,8,6,12,11,13,33
"27","NM_021677",0,0,0,0,0,0,0,0,0
"28","NM_017156",2,1,2,0,1,1,2,1,0
"29","NM_031139",576,621,515,748,695,696,748,695,820
"30","NM_001099476",0,0,0,0,0,0,0,0,0
"31","NM_001039037",86,80,76,46,53,44,58,75,140
"32","NM_053557",158,135,129,76,77,80,323,319,470
"33","NM_199088",1,1,0,1,4,2,1,3,1
"34","NM_031013",5925,6234,5329,6908,8968,7462,3863,2625,2350
"35","NM_001127504",754,768,683,961,1102,952,1023,794,1064
"36","NM_001106268",54,76,73,61,79,61,63,68,98
"37","NM_001106271",625,987,795,839,1036,931,993,1469,1555
"38","NM_177481",14,24,10,16,18,31,21,6,5
"39","NM_031238",154,182,127,256,256,242,112,111,93
"40","NM_053863",0,0,0,0,0,1,0,3,1
"41","NM_022282",0,0,1,0,0,0,1,1,0
"42","NM_001107535",0,0,0,0,0,0,0,0,0
"43","NM_053554",948,963,871,1062,1233,1016,1299,1485,1488
"44","NM_001013896",1220,1529,1092,1533,1937,1844,1411,1066,907
"45","NM_001191628",1,1,0,2,0,2,1,8,3
"46","NM_001107536",182,200,229,220,248,225,211,223,217
"47","NM_139112",0,0,0,0,0,0,1,0,1
"48","NM_001024751",78,94,72,82,75,73,65,115,76
"49","NM_172067",16,12,13,29,19,29,11,17,23
"50","NM_001107542",1443,1490,1311,1486,1744,1470,1533,1919,1831
"51","NM_012713",12,7,10,19,15,19,12,12,10
"52","NM_001172305",12,8,25,25,24,38,15,11,24
